residence_name,council_id
MAGOGONI,2814
TOFIKI,2909
KINYALI,2909
SAMORA,2909
MARIJANI,2909
BARUTI,2909
UHURU,2909
KATI,2909
KIPANDE,2909
MJI MPYA,2909
NDUKA,2909
MWAJA,2909
SOKOINE,2909
MAILIMBILI,2909
KIGAMBONI,2909
KIKUYU,2909
ZAHANATI,2909
HAZINA X,2909
KIKUYU MISSION,2909
RELI,2909
SECHELELA,2909
AMANI,2909
SALMINI,2909
MAKOLE,2909
NATIONAL HOUSING,2909
CHIMULI,2909
"CHADULU ""B""",2909
JAMAL,2909
KAMILI,2909
MASSI,2909
SULULU,2909
RELINI,2909
KIWANJA CHA NDEGE,2909
OYSTERBAY,2909
MKWAJUNI,2909
MLIMWA,2909
CHUO CHA MIPANGO,2909
MAKONGORO,2909
SWASWA,2909
"SWASWA NG""AMBO YA BWAWA",2909
ILAZO,2909
MBUYUNI,2909
BWAWANI,2909
IPAGALA,2909
SURUNGAI,2909
MLIMWA KUSINI,2909
KILIMANI,2909
NYERERE,2909
CHINYOYO,2909
IMAGE,2909
MATHIAS,2909
MIYUJI PROPER,2909
MPAMAA,2909
KISABUJE,2909
SOKOINE,2909
BWAWANI,2909
MKONONGO,2909
RELINI,2909
MBUYUNI,2909
SALAMA,2909
ITEGA,2909
AMANI,2909
BOCHELA,2909
MTUBE,2909
MUUNGANO,2909
MNYAKONGO,2909
MAGHOROFANI,2909
MAWENI,2909
MKUYUNI,2909
IMAGE,2909
MKALAMA A,2909
MKALAMA B,2909
FATINA,2909
MAUSI,2909
KITENGE,2909
MNYAMPALA,2909
MAZENGO,2909
MSAMALIA,2909
HAMVU,2909
CHILEWA,2909
KISHOKA,2909
"CHANG""OMBE JUU",2909
MTAKUJA,2909
PINDA,2909
SOWETO,2909
MAZENGO,2909
CHIDIDIMO,2909
SOKOINE,2909
NALA,2909
SEGU BWAWANI,2909
SEGE JUU,2909
SEGU CHINI,2909
CHIHONI,2909
CHIWONDO,2909
CHIDACHI,2909
MUUNGANO,2909
MIGANGA,2909
CHINYIKA,2909
CHISICHILI,2909
NZINJE,2909
BWAWANI,2909
MUUNGANO,2909
MNADANI,2909
KARUME,2909
MBWANGA,2909
NDACHI,2909
MLEZI,2909
HAZINA,2909
KINYAMBWA RD,2909
ITEGA,2909
MEDELI,2909
MWANGAZA,2909
BWAWANI,2909
NJEDENGWA EAST,2909
NJEDENGWA WEST,2909
MSANGALALE MASHARIKI,2909
MSANGALALE MAGHARIBI,2909
MWINYI,2909
NYERERE,2909
UDOM,2909
IYUMBU,2909
NYUMBA 300,2909
NZUGUNI A,2909
NZUGUNI B,2909
NZUGUNI C,2909
MAHOMANYIKA,2909
KITELELA,2909
NTYUKA,2909
NYERERE,2909
CHIDACHI,2909
CHIMALAA,2909
BWAWANI,2909
NHENYANGA,2909
MAKUTUPORA,2909
MZAKWE,2909
SEKONDARI,2909
MJI MPYA,2909
VEYULA,2909
MCHEMWA SHULENI,2909
AZIMIO,2909
MBANDE,2909
UKOMBOZI,2909
IPALA,2909
MWINYI,2909
MUUNGANO,2909
MWONGOZO,2909
KAMBARAGE,2909
MPELA,2909
PIUS MSEKWA,2909
MWONGOZO,2909
AZIMIO,2909
CHIHANGA,2909
GAWAYE,2909
NZASA,2909
MKOYO,2909
HOMBOLO BWAWANI A,2909
KOLIMBA,2909
HOMBOLO BWAWANI B,2909
ZEPISA A,2909
HOMBOLO MAKULU,2909
MSALATO,2909
SENJE,2909
CHIKOLE,2909
MNADANI,2909
KIKOMBO MAKULU,2909
